id,form_id,page_id,campaign_key,source,created_at,updated_at,assignment_id,status,mappings,actual_source,extra_details
3597,265805401942846,250242829259395,bluegrass-fb,leadgen_ri_secondary,2021-09-27 13:28:06.562569,2021-09-27 13:28:08.785251,1015,on,"{'email': 'email', 'full_name': 'name', 'phone_number': 'phone', 'what_price_range_are_you_looking_for?': 'budget'}",,
3598,453541315953151,250242829259395,bluegrass-fb,leadgen_ri_secondary_video,2021-09-27 13:32:57.014247,2021-09-27 13:33:36.621262,1015,on,"{'email': 'email', 'full_name': 'name', 'phone_number': 'phone', 'what_price_range_are_you_looking_for?': 'budget'}",,
4107,446652173762531,1448322295488740,mahalaxmiaop-facebook,leadgen_ri_lifestyle_western,2022-01-20 03:33:14.889164,2022-01-20 03:33:17.827257,1043,on,"{'email': 'email', 'full_name': 'name', 'work_phone_number': 'alternate_phone', 'what_is_your_preferred_configuration?': 'budget'}",facebook,
4188,1396841860736932,101436748887388,Adarsh-Tulip-Facebook_leadgen,facebook_lead_gen,2022-02-20 05:58:20.700460,2022-02-20 05:58:22.149772,2172,on,"{'email': 'email', 'full_name': 'name', 'phone_number': 'phone', 'preferred_budget': 'budget', 'આ_પ્રોજેક્ટ_અમદાવાદના_ન્યુ_નારોલ_વિસ્તાર_મધ્ય_સ્થિત_છે._શું_તમે_વધુ_માહિતી_મેળવવા_ઈચ્છો_છો?': 'not_used'}",facebook,
3856,3010967405887386,1448322295488740,revanta-fb,leadgen_ri_primary,2021-11-16 13:04:55.778298,2021-11-16 13:04:57.405327,913,on,"{'email': 'email', 'full_name': 'name', 'phone_number': 'phone', 'which_configuration_are_you_interested_in?': 'budget'}",facebook,
3857,321691056057132,1448322295488740,revanta-fb,leadgen_ri_video,2021-11-16 13:07:25.642217,2021-11-16 13:07:27.673059,913,on,"{'email': 'email', 'full_name': 'name', 'phone_number': 'phone', 'which_configuration_are_you_looking_for?': 'budget'}",facebook,
3923,694186914817934,250242829259395,bluegrass-fb,leadgen_ri,2021-11-29 13:07:12.754650,2021-11-29 13:07:14.093124,1015,on,"{'email': 'email', 'full_name': 'name', 'phone_number': 'phone', 'what_is_your_budget_preference_for_4bhk?': 'budget'}",facebook,
4105,963432530944531,1448322295488740,mahalaxmiaop-facebook,leadgen_ri,2022-01-20 03:32:11.077652,2022-01-20 03:32:13.382151,1043,on,"{'email': 'email', 'full_name': 'name', 'phone_number': 'phone', 'what_is_your_preferred_configuration?': 'budget'}",facebook,
4106,432767358580971,1448322295488740,mahalaxmiaop-facebook,leadgen_ri_lookalike,2022-01-20 03:32:40.465542,2022-01-20 03:32:42.684561,1043,on,"{'email': 'email', 'full_name': 'name', 'phone_number': 'phone', 'what_is_your_preferred_configuration?': 'budget'}",facebook,
4146,639420320715403,101281958825688,satatya-syril-facebook-forms,facebook_lead_gen,2022-02-02 07:21:24.544480,2022-03-10 13:21:18.775671,2591,on,"{'email': 'email', 'full_name': 'name', 'phone_number': 'phone', 'your_budgets_': 'budget', 'interested_in_a_site_visit?': 'not_used'}",facebook,
4281,683207526197363,202285150304284,ad-facebook-greenpark,leadgen_ri,2022-03-17 10:28:51.651635,2022-03-17 10:28:53.547862,2596,on,"{'email': 'email', 'full_name': 'name', 'phone_number': 'phone', 'what_is_your_budget_for_4bhk_property?': 'budget'}",facebook,
6182,138954419144720,101436748887388,Adarsh-Tulip-Facebook_leadgen,facebook_lead_gen,2023-04-14 12:18:01.422317,2023-04-14 12:18:03.573637,2172,on,"{'email': 'email', 'full_name': 'name', 'phone_number': 'phone', 'તમારું_બજેટ_પસંદ_કરો!': 'budget'}",facebook,
6153,608937957519487,361108247905882,FB_Radhe_Infinity,facebook_lead_gen,2023-04-11 08:22:28.687762,2023-04-11 08:22:31.031016,3508,on,"{'email': 'email', 'full_name': 'name', 'phone_number': 'phone', 'what_is_your_budget': 'budget'}",facebook,
